id,trigger,conditions,script,text,options,notes
pfsoeDanceStarting2a,DialogOptionSelected,"$option == pfsoe_danceStarting2a","$player.playerStartedDance = true 0","Neriene of House Rao nods and takes your hand. You find yourself pulled toward the center of the dance floor with the inevitability of a singularity's gravity well. ","pfsoe_danceRound1:Continue",
pfsoeDanceStarting2b,DialogOptionSelected,"$option == pfsoe_danceStarting2b","$player.nerieneStartedDance = true 0","Neriene of House Rao takes your hand and pulls you toward the center of the dance floor with the inevitability of a singularity's gravity well. ","pfsoe_danceRound1:Continue",
pfsoeDanceStarting2c,DialogOptionSelected,"$option == pfsoe_noDancing",,"Neriene of House Rao gives you a skeptical look. ""Are you at least willing to try?""","pfsoe_danceStarting2cYes:""Yes.""
pfsoe_danceEscape1:""No. I'm going to leave now.""",
pfsoeDanceStarting2cYes,DialogOptionSelected,"$option == pfsoe_danceStarting2cYes","$player.nerieneStartedDance = true 0","""Then I'll show you,"" she says, taking your hand. You find yourself pulled toward the center of the dance floor with the inevitability of a singularity's gravity well. ","pfsoe_danceRound1:Continue",
pfsoeDanceStarting2d,DialogOptionSelected,"$option == pfsoe_startDanceDrink
$player.tookDrink",,"Neriene of House Rao gives you a skeptical look. ""There's one in your hand. But you're going to have to put it down if we're going to dance.""

She snaps her fingers and instantly a servitor appears with a tray to take your drink.","pfsoe_danceStarting2b:Put the drink down
pfsoe_danceStarting2a:Chug the drink and leave the glass
pfsoe_danceEscape1:""Um. I'm going to leave now.""",
pfsoeDanceStarting2g,DialogOptionSelected,"$option == pfsoe_startDanceJump",,"She gives you a skeptical look. ""Are you feeling well, $playerSirOrMadam?""","pfsoe_danceStarting2f:""I was trying to initiate a Transverse Jump.""
pfsoe_danceStarting2a:""Would you care to dance?""
pfsoe_danceStarting2b:""What would you like to do?""
pfsoe_danceEscape1:""Um. I'm going to leave now.""",
pfsoeDanceStarting2e,DialogOptionSelected,"$option == pfsoe_startDanceDrink
!$player.tookDrink",,"She gives you a skeptical look. ""Are you stalling, $playerSirOrMadam? This does not befit your reputation.""","pfsoe_danceStarting2f:""My reputation?""
pfsoe_danceStarting2a:""Would you care to dance?""
pfsoe_danceStarting2b:""What would you like to do?""
pfsoe_danceEscape1:""Um. I'm going to leave now.""",
pfsoeDanceStarting2f,DialogOptionSelected,"$option == pfsoe_danceStarting2f",,"Her skeptical look takes a turn toward withering.","pfsoe_danceStarting2a:""Would you care to dance?""
pfsoe_danceStarting2b:""What would you like to do?""
pfsoe_danceEscape1:""Um. I'm going to leave now.""",
pfsoeDanceEscape1,DialogOptionSelected,"$option == pfsoe_danceEscape1","$player.leftNerieneOnDanceFloor = true
EndConversation DO_NOT_FIRE
AdjustRepPerson neriene_rao NEUTRAL -1","You turn and find your way toward the edge of the room, leaving a bemused Neriene of House Rao on the dance floor.","pfsoe_danceEscape2:Continue",
pfsoeDanceEscape2,DialogOptionSelected,"$option == pfsoe_danceEscape2","MarketReduceRandomRep
AdjustRep hegemony SUSPICIOUS -1","Jeers and laughter come from the direction of Sang's minions, but they're ignored easily enough as you turn your back on the ballroom.

You have no doubt that you'll be the butt of their jokes all night.

A quick inquiry with one of the uniformed staff allows you access to a discreet servants' access lift and back to your shuttle's pad with a minimum of fuss.","pfsoe_danceEscape3:Continue",
pfsoeDanceEscape3,DialogOptionSelected,"$option == pfsoe_danceEscape3","BeginConversation neriene_rao","The staff is efficient; your entourage is summoned without requiring your intervention, though they seem to have been interrupted in the middle of a meal, wiping hands and one guard popping an anti-inebriant.

Your shuttle is prepped and ready to leave.","pfsoe_danceEscapeEnd:Board and order return to orbit",
pfsoeDanceEscapeEnd,DialogOptionSelected,"$option == pfsoe_danceEscapeEnd","EndConversation DO_NOT_FIRE
$global.pfsoe_completed = true
$global.soe_completed = true
Call $global.pfsoe_ref updateStage
ShowDefaultVisual
FireBest MarketPostOpen","Your shuttle rejoins your $shipOrFleet above $entityName.",,
pfsoeDanceRound1a,DialogOptionSelected,"$option == pfsoe_danceRound1
$player.nerieneStartedDance","$option = pfsoe_danceRound2 0
FireBest DialogOptionSelected","You are slow to follow at first, not being accustomed to ballroom dancing with the elite of Eventide, but Neriene is patient and accommodating, providing instructions on the local customs in a low voice. She is, you suspect, a commander able to embolden green crews toward good performance under pressure.",,
pfsoeDanceRound1b,DialogOptionSelected,"$option == pfsoe_danceRound1
$player.playerStartedDance","$option = pfsoe_danceRound2 0
FireBest DialogOptionSelected","She is quick to follow, though you suspect not accustomed to that role. Nor is ballroom dancing with the Hegemony elite of Eventide much in your wheelhouse, but Neriene provides a few suggestions pursuant to the local customs in a low voice. She is, you suspect, a commander able to embolden green crews toward good performance under pressure.",,
pfsoeDanceRound2,DialogOptionSelected,"$option == pfsoe_danceRound2",,"Before long, you find yourselves caught up in the rhythm of the movements and for a short moment you manage to forget about petty bullies and factional politics.","pfsoe_danceRound3:Continue",
pfsoeDanceRound3,DialogOptionSelected,"$option == pfsoe_danceRound3",,"The next song begins, and inertia takes you.

""So,"" says Neriene over your shoulder. ""You know who I am, why I'm here."" A step, a turn.

""Why are you here, captain? I know it's not for Caspian Sang.""","pfsoe_danceReplyImportant:""I was hoping to talk with someone important.""
pfsoe_danceReplyParty:""I just can't turn down an invitation to a good party.""
pfsoe_danceReplySang:""It really was to prove Sang wrong, somehow.""
pfsoe_danceReplyFelt:""Hard to say. It felt like I ought to be here.""
pfsoe_danceReplyYou:""For you, of course.""",
pfsoeDanceRound3important,DialogOptionSelected,"$option == pfsoe_danceReplyImportant","AdjustRepPerson neriene_rao FRIENDLY 1","""Then I must apologize for disappointing you,"" she says with a wry smile.","pfsoe_danceRound4:Continue",
pfsoeDanceRound3party,DialogOptionSelected,"$option == pfsoe_danceReplyParty","AdjustRepPerson neriene_rao FRIENDLY 1","""Good,"" she says with a smile, ""Because I'm finally starting to enjoy myself.""","pfsoe_danceRound4:Continue",
pfsoeDanceRound3sang,DialogOptionSelected,"$option == pfsoe_danceReplySang",,"She frowns, ""Though I agree with the sentiment, it's not him you need to worry about.""","pfsoe_danceRound4:Continue",
pfsoeDanceRound3felt,DialogOptionSelected,"$option == pfsoe_danceReplyFelt","AdjustRepPerson neriene_rao FRIENDLY 1","""Then it's fate,"" she says with a wry smile, ""Somehow I didn't take you for a romantic.""","pfsoe_danceRound4:Continue",
pfsoeDanceRound3you,DialogOptionSelected,"$option == pfsoe_danceReplyYou","AdjustRepPerson neriene_rao FRIENDLY 1","""A barefaced lie,"" she says with a smile, ""But it's a nice thought.""","pfsoe_danceRound4:Continue",
pfsoeDanceRound4,DialogOptionSelected,"$option == pfsoe_danceRound4",,"You see Neriene's eyes focus on something behind you, and her expression go hard as she pulls away from you.","pfsoe_danceRound5:Continue",
pfsoeDanceRound5,DialogOptionSelected,"$option == pfsoe_danceRound5","ShowSecondPerson caspian","""Oh $playerName!""

You know that nasal tone all too well, now, and slowly turn to see Caspian Sang and his entourage behind a thick-necked lieutenant.","pfsoe_danceRound6:Continue",
pfsoeDanceRound6,DialogOptionSelected,"$option == pfsoe_danceRound6","ShowThirdPerson magnus_cardona
FireBest pfsoeDuelIntro
$player.metCardona = true","The new lieutenant ignores Sang entirely. ""Neriene,"" he says. ""What's this then, slumming with pirate trash?""

""Magnus Cardona,"" she whispers to you, ""A real piece of-""",,
pfsoeDuelIntro1a,pfsoeDuelIntro,"!$player.threwPunch","AdjustRepPerson magnus_cardona VENGEFUL -40
#AdjustRep hegemony SUSPICIOUS -1","Sang calls out, ""Let the auxiliary-captain speak!""

Cardona shoots Sang a look that shuts him up, then turns his dead-eyed stare to you. ""I'm to understand that this frontier barbarian impugned the honor of a Hegemony officer tonight.""

The dance has stopped, the band finally having got the hint. All eyes are on you.","pfsoe_duelIntroCaspian:""No, Caspian managed that all on his own.""
pfsoe_introWhoMe:""Who, me?""
pfsoe_introDrink:""Why don't we all have a drink and calm down.""",
pfsoeDuelIntro1b,pfsoeDuelIntro,"$player.threwPunch","AdjustRepPerson magnus_cardona VENGEFUL -40
#AdjustRep hegemony SUSPICIOUS -5","Cardona calls out, ""I'm to understand that this frontier barbarian assaulted the honor of a Hegemony officer tonight.""

The dance has stopped, the band finally having got the hint. All eyes are on you.","pfsoe_duelIntroCaspian:""Caspian has such a punchable face, it couldn't be helped.""
pfsoe_introWhoMe:""Who, me?""
pfsoe_introDrink:""Why don't we all have a drink and calm down.""",
pfsoeDuelIntroCaspian,DialogOptionSelected,"$option == pfsoe_duelIntroCaspian","FireAll pfsoeDuelResponses
Call $global.pfsoe_ref crowdGasp","""He's irrelevant. You attacked the uniform, and for that,"" Cardona loosens his sword, ""I challenge you to honorable combat.""

Sang grins from behind him, relishing the moment.",,
pfsoeDuelIntroWhoMe,DialogOptionSelected,"$option == pfsoe_introWhoMe","$option = pfsoe_introDrink 0
FireBest DialogOptionSelected",,,
pfsoeDuelIntroDrink,DialogOptionSelected,"$option == pfsoe_introDrink","FireAll pfsoeDuelResponses
Call $global.pfsoe_ref crowdGasp","""You. $playerName. You attacked the uniform, and for that,"" Cardona loosens his sword, ""I challenge you to honorable combat.""

Sang grins from behind him, relishing this moment.",,
pfsoeDuelResponseAccept,pfsoeDuelResponses,,,,"pfsoe_duelAccept:""I accept.""",
pfsoeDuelResponseScared,pfsoeDuelResponses,"!$scaredSang",,,"pfsoe_duelScared:""Too scared to fight me yourself, Caspian?""",
pfsoeDuelResponseLegal,pfsoeDuelResponses,"!$isThisLegal",,,"pfsoe_duelLegal:""Is this legal?""",
pfsoeDuelResponseSpace,pfsoeDuelResponses,"!$preferSpace",,,"pfsoe_duelSpace:""I prefer space combat.""",
pfsoeDuelResponseNo,pfsoeDuelResponses,,,,"pfsoe_duelNo:""No, thank you.""",
pfsoeDuelAccept,DialogOptionSelected,"$option == pfsoe_duelAccept",,"Cardona nods. ""Prepare yourself.""","pfsoe_duelPrepare:Continue",
pfsoeDuelScared,DialogOptionSelected,"$option == pfsoe_duelScared","$scaredSang = true 0
HideSecondPerson
FireAll pfsoeDuelResponses","You catch a glimpse of Sang's panic before Cardona steps forward, putting himself between you and Sang. ""It is I who have challenged you. Answer me now!""",,
pfsoeDuelLegal,DialogOptionSelected,"$option == pfsoe_duelLegal","$isThisLegal = true 0
FireAll pfsoeDuelResponses","""I'm afraid so,"" Neriene says. ""Technically.""",,
pfsoeDuelSpace,DialogOptionSelected,"$option == pfsoe_duelSpace","$preferSpace = true 0
FireAll pfsoeDuelResponses","""On Eventide we have the courage to fight face to face,"" Cardona says.

""Now answer my challenge!""",,
pfsoeDuelNo,DialogOptionSelected,"$option == pfsoe_duelNo",,"""Then you prove that you don't belong here among us,"" Cardona sneers.

""You've the thin frontier blood of thieves and failures. Crawl away now, barbarian, and be thankful the Hegemony came to save your kind when you proved unable to rule yourself.""","pfsoe_duelAccept:""On second thought, I accept.""
pfsoe_duelNoLeave1:""Your crude tradition proves nothing. Good-bye."" 
pfsoe_duelWhoBarbarian:""Barbarian? You're the one threatening guests with oversized cutlery.""
pfsoe_duelNoLeave2:Leave",
pfsoeDuelWhoBarbarian,DialogOptionSelected,"$option == pfsoe_duelWhoBarbarian","AdjustRepPerson magnus_cardona VENGEFUL -5","This prompts a few snickers and a guffaw from the crowd. Cardona looks furiously to each side, then straight at you.

""Answer my challenge,"" he shouts, ""And do it now!""","pfsoe_duelAccept:""On second thought, I accept.""
pfsoe_duelNoLeave1:""Your crude tradition proves nothing. Good-bye."" 
pfsoe_duelNoLeave2:Just leave",
pfsoeDuelNoLeave1,DialogOptionSelected,"$option == pfsoe_duelNoLeave1","$option = pfsoe_duelNoLeave2 0
FireBest DialogOptionSelected",,,
pfsoeDuelNoLeave2,DialogOptionSelected,"$option == pfsoe_duelNoLeave2","EndConversation DO_NOT_FIRE
HideSecondPerson
HideThirdPerson
$option = pfsoe_duelLeaveGo 0
FireBest DialogOptionSelected","Neriene follows you. ""Good,"" she says to you under her breath.",,
pfsoeDuelPrepare,DialogOptionSelected,"$option == pfsoe_duelPrepare","HideSecondPerson
HideThirdPerson","Your acceptance washes across the crowd, waking them as if from a stupor. Their murmuring fills the hall. Cardona, Sang, and the rest gather and begin walking toward a tall set of doors at one end of the ballroom. Others join them, mostly officers, mostly young men.

""Grandmother!"" Neriene calls out; you follow her pleading look to a stately woman overseeing the entire affair. ""Put a stop to this, there's no need for bloodshed on this night.""","pfsoe_duelPrepare2:Continue",
pfsoeDuelPrepare2,DialogOptionSelected,"$option == pfsoe_duelPrepare2","ShowSecondPerson augusta_rao","You recognize Augusta Rao from the news holos. Her head pitches almost imperceptibly - a denial - before she turns her back and moves away, pulling in her wake a retinue of ministers and aristocrats.","pfsoe_duelPrepare3:Continue",
pfsoeDuelPrepare3,DialogOptionSelected,"$option == pfsoe_duelPrepare3","EndConversation DO_NOT_FIRE
ShowImageVisual eventide
Call $global.pfsoe_ref THEDUEL",,"pfsoe_duelPrepare4:Continue",
pfsoeDuelPrepare4,DialogOptionSelected,"$option == pfsoe_duelPrepare4","FireAll pfsoeDuelPrepResponse","On a bench before you lies a dueling kit: hardened boots, gloves, and helmet. A neatly folded jumpsuit of material smart enough to allow only what it judges to be non-lethal jabs and cuts comes with a suite of embedded medical sensors to automatically perform first-aid upon injury. ""Deaths are very rare,"" a minor aristocrat assures you as he hands a scabbard to Neriene Rao.

She waves him back toward the gawkers with an annoyed look. There are fewer gathered around you, and fewer uniforms, than those egging on Cardona and Sang.

""This is stupid,"" she says, drawing the sword a handswidth and examining the edge. ""You don't have to go through with it.""",,
pfsoeDuelPrepResponseBeginDuel,pfsoeDuelPrepResponse,"$player.gotSword",,,"pfsoe_duelPrepReady:""I'm ready to fight.""",
pfsoeDuelPrepResponseCoward,pfsoeDuelPrepResponse,"!$prepSaidCoward",,,"pfsoe_duelPrepCoward:""I won't have them think me a coward.""",
pfsoeDuelPrepResponseCoward2,pfsoeDuelPrepResponse,"$prepSaidCoward
!$prepSaidCoward2",,,"pfsoe_duelPrepCoward2:""What do you mean by people like Cardona?""",
pfsoeDuelPrepResponseQuaint,pfsoeDuelPrepResponse,"!$prepSaidQuaint",,,"pfsoe_duelPrepQuaint:""Charming traditions you have here.""",
pfsoeDuelPrepResponseSword,pfsoeDuelPrepResponse,"!$player.gotSword",,,"pfsoe_duelPrepSword:Just take the sword",
pfsoeDuelPrepResponseStudied,pfsoeDuelPrepResponse,"!$player.gotSword","SetStoryOption pfsoe_duelPrepStudied 1 pfsoe_duelPrepStudied combat ""Called upon sword combat training while dueling on Eventide""",,"pfsoe_duelPrepStudied:""Contrary to my looks, I have studied the blade."" (easier fight)",
pfsoeDuelPrepTutorialAsk,pfsoeDuelPrepResponse,"$player.gotSword
!$askDoTutorial","$askDoTutorial = true 0","Neriene pauses a moment, then says ""Before you go through with this, would you like to take a few practice swings to warm up?""",,
pfsoeDuelPrepTutorialDo,pfsoeDuelPrepResponse,"$player.gotSword
!$didSwordTutorial",,,"pfsoe_duelTutorialStart:Take a few practice swings (sword tutorial)",
pfsoeDuelPrepResponseLeave,pfsoeDuelPrepResponse,,,,"pfsoe_duelPrepLeave:""You're right, this is stupid. I'm leaving.""",
pfsoeDuelTutorialStart,DialogOptionSelected,"$option == pfsoe_duelTutorialStart
!$player.bladeSkill","Call $global.pfsoe_ref beginTutorial false",,,
pfsoeDuelTutorialStartSkilled,DialogOptionSelected,"$option == pfsoe_duelTutorialStart
$player.bladeSkill","Call $global.pfsoe_ref beginTutorial true",,,
pfsoeDuelTutorialEnd,pfsoeTutorialFinished ,,"FireAll pfsoeDuelPrepResponse","""Well."" Neriene considers her words carefully. ""I think Cardona has been drinking, so that'll help.""",,
pfsoeDuelPrepCoward,DialogOptionSelected,"$option == pfsoe_duelPrepCoward","$prepSaidCoward = true 0
FireAll pfsoeDuelPrepResponse","Neriene sighs, ""It doesn't matter what those children think. I just can't believe grandmother is allowing this to go on. Emboldening people like Cardona is going to cause trouble.""",,
pfsoeDuelPrepCoward2,DialogOptionSelected,"$option == pfsoe_duelPrepCoward2","$prepSaidCoward2 = true 0
FireAll pfsoeDuelPrepResponse","""It's, um. Complicated. Political."" She doesn't like to talk about it, you think. 

""There are those in the Hegemony that think they - we, I mean; those whose families came from the officers of the Fourteenth Battlegroup - that we're somehow better than everyone else. It's ridiculous.""",,
pfsoeDuelPrepSword,DialogOptionSelected,"$option == pfsoe_duelPrepSword","$player.gotSword = true 0
FireAll pfsoeDuelPrepResponse","She hands you the scabbard with the sword, ""This was given to me by my father."" 

""But it doesn't have any sentimental value."" She gives you a quick look, ""I never cared for swordplay.""",,
pfsoeDuelPrepQuaint,DialogOptionSelected,"$option == pfsoe_duelPrepQuaint","$prepSaidQuaint = true 0
FireAll pfsoeDuelPrepResponse","""One that has no place in a civilized society,"" she says. ""But I suppose we aren't quite that, are we."" She looks off toward one of the mirrorsets.",,
pfsoeDuelPrepStudied,DialogOptionSelected,"$option == pfsoe_duelPrepStudied","AddTextSmall ""Revealed sword combat training"" highlight
$player.bladeSkill = true
$player.gotSword = true 0
FireAll pfsoeDuelPrepResponse","Neriene looks doubtful as she hands you the scabbard. 

You draw the blade in a single movement and demonstrate a lunge or two. The crowd gathering around you cheers and call boasts toward the other end of the loggia.

""Those idiots might have made a bigger mistake than I thought,"" she admits with an impressed look.",,
pfsoeDuelPrepReady,DialogOptionSelected,"$option == pfsoe_duelPrepReady",,"""If you're sure,"" she says.

As you begin to step away, she adds ""And... give him hell!""","pfsoe_duelPrepDone:Continue",
pfsoeDuelPrepLeave,DialogOptionSelected,"$option == pfsoe_duelPrepLeave","$option = pfsoe_duelLeaveGo 0
FireBest DialogOptionSelected","""Good,"" she says, and drops the scabbard onto the pile of dueling kit.",,
pfsoeDuelLeaveGo,DialogOptionSelected,"$option == pfsoe_duelLeaveGo","MarketReduceRandomRep","The crowd jeers. Neriene gives the closest hecklers a killing look; they quickly discover that they were less enthusiastic about this duel than they had thought. Her status as a member of House Rao and host of the ball does not shield you from general disdain, however, and she quickly leads you through a discreet servants' access lift and back to your shuttle's pad.","pfsoe_duelPrepLeave2:Continue",
pfsoeDuelPrepLeave2,DialogOptionSelected,"$option == pfsoe_duelPrepLeave2","BeginConversation neriene_rao","The staff is efficient; your entourage is summoned without requiring your intervention, though they seem to have been interrupted in the middle of a meal, wiping hands and one guard popping an anti-inebriant.

Shuttle prepped, Neriene sees you off from the launch pad.

""Well,"" she says uncomfortably, ""I apologize for... for everything. We're not all clannish brutes.""","pfsoe_duelPrepLeaveWontHold:""I won't hold their actions against you.""
pfsoe_duelPrepLeaveBravado:""I've survived worse. It's no hull breach, for instance.""
pfsoe_duelPrepLeaveDatingSim:""I enjoyed the dance. We should do it again.""
pfsoe_duelPrepLeaveRude:""Don't. They just showed me what you really are.""",
pfsoeDuelPrepLeaveWontHold,DialogOptionSelected,"$option == pfsoe_duelPrepLeaveWontHold",,"She nods, accepting your words, her face still grim. ""Until a better time, captain."" She turns away before you can reply, heading toward the manor complex.","pfsoe_duelPrepLeaveEnd:Leave",
pfsoeDuelPrepLeaveBravado,DialogOptionSelected,"$option == pfsoe_duelPrepLeaveBravado",,"""No, I suppose not,"" she says, the start of a smile on her face. ""Until a better time, captain,"" she says then turns away before you can reply, heading toward the manor complex.","pfsoe_duelPrepLeaveEnd:Leave",
pfsoeDuelPrepLeaveDatingSim,DialogOptionSelected,"$option == pfsoe_duelPrepLeaveDatingSim","AdjustRepPerson neriene_rao FRIENDLY 1","""I'd like that,"" she says, the start of a smile on her face. She looks like she is about to say more, but instead nods quickly and turns away before you can reply, heading toward the manor complex.","pfsoe_duelPrepLeaveEnd:Leave",
pfsoeDuelPrepLeaveRude,DialogOptionSelected,"$option == pfsoe_duelPrepLeaveRude","AdjustRepPerson neriene_rao SUSPICIOUS -5","She looks hurt, opens her mouth to speak, then closes it and quickly turns away, heading toward the manor complex.","pfsoe_duelPrepLeaveEnd:Leave",
pfsoeDuelPrepLeaveEnd,DialogOptionSelected,"$option == pfsoe_duelPrepLeaveEnd","Call $global.pfsoe_ref cleanUpMusicPlayer
EndConversation DO_NOT_FIRE
$global.soe_completed = true
Call $global.soe_ref updateStage
ShowDefaultVisual
FireBest MarketPostOpen","Your shuttle rejoins your $shipOrFleet above $entityName.",,
,,,,,,
pfsoeDuelPrepDone,DialogOptionSelected,"$option == pfsoe_duelPrepDone","EndConversation DO_NOT_FIRE
ShowImageVisual eventide","Dressed in dueling gear and wielding Neriene's sword, you are led to one end of a columned loggia that seems to hang over the valley below. 

Magnus Cardona steps forward, and the crowds withdraw.","pfsoe_duelStart:Fight",
pfsoeDuelStart,DialogOptionSelected,"$option == pfsoe_duelStart","EndConversation DO_NOT_FIRE
Call $global.pfsoe_ref beginDuel false",,,
pfsoeDuelStartSkilled,DialogOptionSelected,"$player.bladeSkill
$option == pfsoe_duelStart","EndConversation DO_NOT_FIRE
Call $global.pfsoe_ref beginDuel true",,,
"#END pfsoe step 2: Arrive at Eventide",,,,,,
,,,,,,
# pfsoe Won Duel,,,,,,
pfsoeFightWin,pfsoeDuelFinished,"$pfsoe_playerWonDuel","Call $global.pfsoe_ref postDuel","The watching crowd emits a sound of collective sympathetic pain as Cardona falls to the floor with a crack. A tense silence follows.

Sang and his minions look horrified. The onlookers behind them watch, frozen and unsure.","pfsoe_fightWin2:Continue",
pfsoeFightWin2,DialogOptionSelected,"$option == pfsoe_fightWin2","AdjustRep hegemony NEUTRAL 3","Something large and unseen turns on an invisible fulcrum toward a tipping point, a threshhold of critical mass igniting a state change.

Someone begins to cheer, then others, with a rising wave of applause and shouts. It is agreed, then, that today we may cheer for the outsider.","pfsoe_fightWin3:Continue",
pfsoeFightWin3,DialogOptionSelected,"$option == pfsoe_fightWin3",,"You find yourself lifted onto the shoulders of excitable revelers who were not your friend only minutes ago. You are carried bodily back into the grand hall, where pressurized potables are uncapped.

Placed at the head table like a king, you are presented to those gathered as some kind of cult-object, the avatar of victory, honor, or some other notions that will likely make a lot less sense tomorrow when everyone sobers up.","pfsoe_fightWin4:Continue",
pfsoeFightWin4,DialogOptionSelected,"$option == pfsoe_fightWin4",,"The thought crosses your mind that Neriene's sword is no longer in your hand. You hope someone ensured that it was safely stowed. You catch sight of Neriene's face; she is trying to push through the crowd. She looks at once joyful and concerned.

Augusta Rao looks on from afar, her expression aloof.","pfsoe_fightWin5:Continue",
pfsoeFightWin5,DialogOptionSelected,"$option == pfsoe_fightWin5","BeginConversation neriene_rao","Later - how much later you don't care to consider just yet - you stand unsteadily before your shuttle. The manor staff are efficient; your entourage has been summoned. Some look like they've been woken from sleep, and you note one guard stealthily popping an anti-inebriant. They keep their tone professional, but you can tell that they are glowing with pride. Word of your victory obviously spread quickly through the waiting flight crews.

Neriene appears to see you off from the launch pad. She is well composed despite the excesses of the ball.

""You've made some friends tonight,"" Neriene says with a hint of a smile, which fades. ""And some enemies.""","pfsoe_fightWinMaybe:""Fun party. See you around, maybe.""
soe_fightWinBravado:""And now my enemies know what's waiting for them.""
soe_fightWinDatingSim:""I hope to count you among those friends.""
soe_fightWinNeverAgain:""I'm never coming to one of these balls ever again.""
soe_fightWinRude:""I can't believe you convinced me to take part in that debauched bloodsport.""
",
pfsoeFightWinMaybe,DialogOptionSelected,"$option == pfsoe_fightWinMaybe","AdjustRepPerson neriene_rao FRIENDLY 1","She nods, the hint of a smile returning. ""Maybe."" She turns away before you can reply, and walks back toward the manor complex.","pfsoe_fightWinPrevail:Leave",
pfsoeFightWinBravado,DialogOptionSelected,"$option == pfsoe_fightWinBravado",,"Her brow furrows. ""And your friends, I suppose,"" she says, and turns away.

She starts back toward the manor complex before you can reply.","pfsoe_fightWinPrevail:Leave",
pfsoeFightWinDatingSim,DialogOptionSelected,"$option == pfsoe_fightWinDatingSim","AdjustRepPerson neriene_rao FRIENDLY 2","""I'd like that,"" she says, the smile returning.

She looks like she might say more but instead nods and turns away, heading back toward the manor complex before you can reply.","pfsoe_fightWinPrevail:Leave",
pfsoeFightWinNeverAgain,DialogOptionSelected,"$option == pfsoe_fightWinNeverAgain",,"She nods toward the distant stormclouds, thoughtful, ""I can't say a blame you. Perhaps we shall meet again in a more... civilized context.""

With that, she turns away and heads toward the manor complex.","pfsoe_fightWinPrevail:Leave",
pfsoeFightWinRude,DialogOptionSelected,"$option == pfsoe_fightWinRude","AdjustRepPerson neriene_rao SUSPICIOUS -5","She looks shocked, ""You actually think I-"" she interrupts herself, holding her palm toward you, her expression hardening.

Neriene opens her mouth to speak, then closes it and quickly turns away, heading back toward the manor complex.","pfsoe_fightWinPrevail:Leave",
pfsoeFightWinPrevail,DialogOptionSelected,"$option == pfsoe_fightWinPrevail","Call $global.pfsoe_ref cleanUpMusicPlayer
EndConversation DO_NOT_FIRE
AddStoryPoints 1
$global.pfsoe_completed = true
Call $global.pfsoe_ref updateStage
ShowDefaultVisual
FireBest MarketPostOpen","Your shuttle rejoins your $shipOrFleet above $entityName.",,
"#END pfsoe Won Duel",,,,,,
,,,,,,
# pfsoe Lost Duel,,,,,,
pfsoeFightLose,pfsoeDuelFinished,"$pfsoe_playerLostDuel","Call $global.pfsoe_ref postDuel","You slowly awaken. You feel distinctly unwell; there is no pain, but instead the wrongness of separated flesh. 

A portable automedic beeps beside you, cold tubes running into your body. An vaguely Neriene Rao-shaped figure asks you something.","pfsoe_fightLose1:Continue",
pfsoeFightLose1,DialogOptionSelected,"$option == pfsoe_fightLose1",,"You're leaning against a bench, you think, with someone's uniform jacket behind your head. Tall windows glow in the twilight, the blurred forms of revellers moving within.

The mirrors have been allowed to set, leaving the sky glowing darkly in deepest blue.","pfsoe_fightLose2:Continue",
pfsoeFightLose2,DialogOptionSelected,"$option == pfsoe_fightLose2","BeginConversation neriene_rao","""Come on, let's get you back to your shuttle.""

Neriene pulls you to your feet. Your head spins for a moment, then the automedic whirrs. A sense of fragile wellness fills you.

She gingerly leads you to a discreet servants' access lift and back to your shuttle's pad.","pfsoe_fightLose3:Continue",
pfsoeFightLose3,DialogOptionSelected,"$option == pfsoe_fightLose3",,"The manor staff are efficient; your entourage has been summoned. They keep their tone professional, but you can tell that their mood is cautious. Word of your loss obviously spread quickly through the waiting flight crews.

Neriene sees you off from the launch pad.

""Well,"" she says uncomfortably, ""I apologize for... for everything. We're not all clannish brutes.""","pfsoe_fightLoseWontHold:""I won't hold their actions against you.""
pfsoe_fightLoseParty:""Fun party. Glad I survived it.""
pfsoe_fightLoseBravado:""Now they know I won't back down. I won that much.""
pfsoe_fightLoseDatingSim:""I enjoyed the dance. We should do it again.""
pfsoe_fightLoseRude:""Don't. They just showed me what you really are.""",
pfsoeFightLoseWontHold,DialogOptionSelected,"$option == pfsoe_fightLoseWontHold",,"She nods grimly, accepting your words.

""Until a better time, captain."" She turns away before you can reply, heading toward the manor complex.","pfsoe_fightLoseLeave:Leave",
pfsoeFightLoseParty,DialogOptionSelected,"$option == pfsoe_fightLoseParty","AdjustRepPerson neriene_rao FRIENDLY 1","""Me too,"" she says with the start of a smile.

""Until next time, captain,"" she says, turning back toward the manor complex before you can reply.","pfsoe_fightLoseLeave:Leave",
pfsoeFightLoseBravado,DialogOptionSelected,"$option == pfsoe_fightLoseBravado",,"Her brow furrows. ""At the academy we were taught to avoid battle on terms set by the enemy."" 

She looks like she might say more, but decides against it. With a shake of her head she turns away before you can respond, heading back toward the manor complex.","pfsoe_fightLoseLeave:Leave","# translation: ""you idiot"""
pfsoeFightLoseDatingSim,DialogOptionSelected,"$option == pfsoe_fightLoseDatingSim","AdjustRepPerson neriene_rao FRIENDLY 2","""I'd like that,"" she says, her smile finally returning.

She looks like she might say more but instead nods quickly and turns away before you can reply, heading back toward the manor complex.","pfsoe_fightLoseLeave:Leave",
